"Asiakkaan muistiinpanoja"
"Hukkaputki"
"Hukkaputki pelin teemat, joita halutaan käsitellä","","","","","",""
"Päihteet: kannabis, alkoholi, nuuska, vape, energiajuomat","","","","","",""
"Muut: Peliriippuvuus, doping, sosiaalinen paine, vanhempien juominen, seksuaalinen häirintä, viiltely, liikenneturvallisuus, kiusaaminen, avun hakeminen, mielenterveys","","","","","",""
"Apupalvelut: NL, LL, DL, Sekasin chat, Sua varten somessa, Koulujen tarjoama tuki (koulukuraattori / kouluterkka)","","","","","",""
"Muuta, mitä? ulkonäköpaineet","","","","","",""
"selvitä: ylläpito asiat, mahdollisimman helppo, pystyisimme itsekin sitä ylläpitää / päivittää tarvittaessa"
"digipelaaminen, seurustelu,    (snäpistä)/ somesta tilattu kannabis kotibileet LL: ei halua, että kaverit tulee sen luokse. jos ne päätyy sinne, siellä on pulloja / sotkua, ei mitään syötävää. nuori joutuu selittää miksi äiti nukkuu doping- some - kehonkuva, onks saavutettavissa, seurustelu, haluaa näyttää tietynlaiselta, pitäis tehdä vaikutus doping oppitunti & liikenneturvallisuus oppitunti poistetaan doping: testosteroni / anaboliset steroidit laihdutuspillerit -  akne, kaljuuntuminen, kasvu pysähtyy, hormoonitoiminnan häiriö 1 oppitunti  voisi olla liikunta ja / tai oppitunnin jälkeen vois mennä kuntosalille"
"'-Peli suunnattu yläkoululaisille'","","","","","",""
"Kotibileet- kaverit ärsyyntyy liiallisesta päihtymisestä","","","","","",""
"'-Interaktiivinen valintojen stoori, sijoittuu kouluun ja koulun lähiympäristöön'","","","","","",""
"'-Tavoite: mielenkiintoinen, monipuolisesti tietoa, visuaalisesti ilmeikäs, 3 eri kieliversiota. Äänitehosteita.'","","","","","",""
"Pelaaja voi oikeasti tehdä ""huonojakin"" valintoja toisin kuin edellisessä pelissä, pelaaja ei voi kontrolloida täysin muiden reaktioita, kuten ekassa pelissä. Pelaaja voi myös valita enemmän teemoja, joista saa lisätietoa (oppitunnit)","","","","","",""
"Henkilöt: Päähenkilö - sinä, paras kaveri, Sofi? muut: Lydia, Roope, Miro + Mìron kaverit, Tuomas, Sofin äiti, kouluterkka, koulukuraattori","","","","","",""
"haluatko palata ajassa taaksepäin? tai valintanappula, jossa voi jatkuvasti palata ajassa taaksepäin","","","","","",""
"tilastot mitä kaikki valitsivat loppuun, loppuun painikkeet mistä voi löytää lisätietoa tietyistä teemoista.","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""


"Scene 0: Pelin alku"
"Intro screen"
"Player character customization"
"Tutorial dialogue","narrator"
"Tutorial dialogue","player, option1"
"Tutorial dialogue","player, option2"
"Tutorial dialogue","narrator"
"vOISIKO TÄHÄN SAADA UUDEN DIALOGIN VANHAN ALOITUKSEN TILALLE?"

"Pelitiimin muistiinpanoja"
"Merkitse muutokset käsikirjoitukseen punaisella laatikolla! Kopioi ja liitä läpinäkyvä laatikko muutoskohdan päälle"
"Poista punainen laatikko kun muutokset on viety Figman Storyboardiin!"
"Merkitse viilausta kaipaava kohta käsikirjoitukseen lilalla laatikolla! Kopioi ja liitä läpinäkyvä laatikko muutoskohdan päälle"
"Poista lila laatikko kun muutokset on tehty!"

"Scene1: Sofilla on tietoa"
"Scene 1.1"
"Olet menossa ostamaan energiajuomaa koulun kioskiautomaatista, kun Sofi kiskaisee sua hihasta.","narrator"
"Omg näin just Lydian wc:ssä vapettamassa!","NPC_Sofi"
"Ei mun sirkus, ei mun apina. Haluun vain energiajuomaa.","player, option3"
"Käräytetään se!","player, option1"
"Mitämitä? Eikä! Mennään kattomaan.","player, option2"
"Sofi saa sut ylipuhuttua ja lähdette tsekkaamaan mitä Lydia tekee.","narrator"
"Huomaatte kouluterkan kävelevän ohi. Pitäiskö sille kertoa tästä?","narrator"
"EPÄLOOGISTA"

"Scene 1.2"
"Ehkä käydään eka kattoo onko sillä kaikki ok","player"
"Joo, kerrotaan.","player"
"Kiitos kun kerroitte. Käyn juttelemassa Lydialle.","NPC_kouluterkka"
"Kiva kun se ei suuttunut, vois ehkä itekin joskus käydä juttelemassa kouluterkalle. + tietoa vapesta","player"
"EVVK","player"

"Suuntaatte kohti wc:tä.","narrator"

"Scene 2 A: Roopen nuuska &amp; rahapelit"
"Scene 2.1 A"
"Pääset vihdoin automaatille ja huomaat, että energiajuomat on korvattu appelsiinimehulla!","narrator"
"Ostan appelsiinimehua","player, option1"
"Jätän väliin","player, option2"
"Haluutko kuulla mitä haittoja energiajuomilla on?","narrator"
"Hyvä valinta. Energiajuomilla voi olla useita ikäviä vaikutuksia, kuten sydämentykytystä, päänsärkyä ja univaikeuksia, lisäksi ne ovat huonoksi hampaille ja niihin voi jäädä koukkuun.","narrator, infobox"
"Joo","player, option1"
"En","player, option2"
"Energiajuomilla voi olla useita ikäviä vaikutuksia, kuten sydämentykytystä, päänsärkyä ja univaikeuksia, lisäksi ne ovat huonoksi hampaille ja niihin voi jäädä koukkuun.","narrator, infobox"

"Scene 2.2 A"
"Roope ilmestyy paikalle ja kaivaa taskuaan.","narrator"
"Ei sulla olis paria euroa heittää? Saat palkkioks nuuskaa.","NPC_Roope"
"No hyi ei, nuuska maistuu hirveeltä!","player, option1"
"Joo todellakin sopii!","player, option2"
"Hyvä valinta! Nuuska mm. sisältää syöpävaarallisia aineita, heikentää suun terveyttä ja pitää elimistön jatkuvassa rasitustilassa.","narrator, infobox"
"Ootko ihan varma? Nuuska mm. sisältää syöpävaarallisia aineita, heikentää suun terveyttä ja pitää elimistön jatkuvassa rasitustilassa.","narrator, infobox"
"Aa ok, ehkä mä sit skippaan sen.","player, option1"
"Joo olen.","player, option2"
"Laitat nuuskapussin lompakkoon piiloon ja toivot ettei kukaan huomaa sitä. Nuuskan hallussapito on kielletty alle 18-vuotiailta.","narrator, infobox"

"Scene 2.3 A"
"Mä hävisin eilen 40 euroa pelikoneeseen! Mutta tänään aion voittaa ne takas.","NPC_Roope"
"Hyvä plääni!","player, option1"
"Todennäköisesti tuut häviämään nekin rahat.","player, option2"
"Vaikka rahapeleissä voittaisi, jos pelaa säännöllisesti, todennäköisesti ennemmin tai myöhemmin häviää voitot.   Tiesitkö, että Suomessa on arviolta noin 130 000 rahapeliriippuvaista? Suomalaiset pelaavat rahapelejä eniten Euroopassa suhteutettuna asukaslukuun.","narrator, infobox"
"Aivan totta. Vaikka voitto tulisi, jos pelaa säännöllisesti, todennäköisesti häviää rahat ennemmin tai myöhemmin.","narrator"


"Scene 2 B: Lydian huolet"
"Scene2.1 B"
"Lydia mitä sä oot tekemässä? Eihän täällä saa vapettaa!","NPC_Sofi"
"Ei tää oo mikään iso juttu, täähän on vaan sähkötupakkaa.","NPC_Lydia"
"Vapekin on haitallista! Ja se voi olla yhtä addiktoivaa kuin tavallinen tupakka eikä sen pitkäaikaisista vaikutuksista edes tiedetä!","NPC_Sofi"
"Antakaa mun olla, mul on täl hetkellä riittävästi vaikeuksii ja saan varmaan paniikkikohtauksen, jos en vapeta!","NPC_Lydia"
"Parasta lähteä ja antaa sen olla rauhassa.","player, option2"
"Voi ei kuulostaapa hirveeltä! Voidaanks me jotenkin auttaa?","player, option1"

"Scene 2.2 B"
"Me erottiin Tommin kanssa ja lähetin sille nuden kun vielä seurusteltiin.","NPC_Lydia"
"Se ei suostu poistamaan sitä puhelimesta!  Ja nyt pelkään, että muutkin näkee sen.","NPC_Lydia"
"Tiedät, että alaikäisen nudekuvan säilyttäminen on rikos. Vinkkaat Lydiaa kertomaan...","narrator"
"Sua varten somessa -työntekijälle"
"kouluterkalle","player"
"koulukuraattorille","player"
"muulle luotettavalle aikuiselle","player"
"Hienoa, kaikki nämä vaihtoehdot olivat hyviä!","narrator"
"Kiitos avusta, oikeesti.","NPC_Lydia"

"Scene 2.3 B"
"Täältä kuului huutoa. Onko kaikki kunnossa?","NPC_KuraattoriAnu"
"Joo, kaikki on ihan OK.","player"
"Ehkä sun kannattais käydä tsekkaamassa onko Lydia ok.","player"
"Ehkä sun kannattais käydä kattomassa tota Lydiaa tuolla vessassa...","NPC_Sofi"
"Mä kävin juttelemassa Anulle viime viikolla siitä mun viiltelystä, se on tosi mukava.  Mä en pysty mun vanhemmille puhua mistään niin se autaa, kun pääsee jollekulle purkamaan.","NPC_Sofi"
"Aa vois ehkä itekin joskus käydä juttelemassa.","player"
"Ok","player"
"Hyvä päätös, koulun tarjoamia tukipalveluita kannattaa hyödyntää matalallakin kynnyksellä!","narrator"


"Scene 3A: Kiusaamistilanne"
"Kello pirisee. Olet astumassa luokkaan, kun huomaat pari ysiluokkalaista kiusaamassa Tuomasta.  Yksi pojista taklaa Tuomaksen ja Tuomaksen silmälasit tippuvat maahan.","narrator"
"Olet harmissasi asiasta, muttet puutu tilanteeseen. Kävelet suoraan luokkaan.","player, option1"
"Käyt huutamassa pojille, että he lopettaisivat ja nostat lasit maasta. Kiusaaminen ei ole freshiä.","player, option2"
"Opettaja tulee onneksi paikalle ja puuttuu tilanteeseen.","narrator"
"Opettaja tulee paikalle ja puuttuu myös tilanteeseen.","narrator"
"Kannattaisko sun vielä myöhemmin tsekata onks Tuomaksella kaikki hyvin?","narrator"
"Kannattais","player, option1"
"Kyl se varmaan pärjää","player, option2"
"Hyvä päätös! Koulukiusaaminen voi jättää pitkät jäljet ihmiseen eikä siihen tulisi suhtautua kevyesti.","narrator"
"Koulukiusaaminen voi jättää pitkät jäljet ihmiseen, joten siihen ei tulisi koskaan suhtautua kevyesti.","narrator"
"KERTOJAN ROOLI LIIAN HALLITSEVA? LISÄÄ DIALOGIA JA VUOROVAIKUTUSTA? "

"Scene 3B: Miron tilanne"
"Scene 3.1 B"
"Nyt kun tämä asia ratkesi, suuntaat takasin automaatille ostamaan energiajuomaa.","narrator"
"Sun pitäis lopettaa toi energiajuomien lipittäminen, ne ei oo yhtään terveellisiä.","NPC_Sofi"
"Onks ne muka oikeesti niin haitallisia?","player, option2"
"EVVK","player, option1"
"Energiajuomilla voi olla useita ikäviä vaikutuksia, kuten sydämentykytystä, päänsärkyä ja univaikeuksia, lisäksi ne ovat huonoksi hampaille ja niihin voi jäädä koukkuun.","narrator, infobox"
"Haluutko yhä energiajuomaa?","narrator"
"En","player, option2"
"Joo","player, option1"

"Scene3.2 B"
"Matkalla automaatille huomaat Miron kävelevän pää painuksissa","narrator"
"Huomaat Miron kävelevän ohi pää painuksissa.","narrator"
"Onko kaikki hyvin? Et ollut tunnilla äsken.","player, option1"
"Kaikilla on näköjään huono päivä tänään... paras jättää se rauhaan.","player, option2"
"Nukuin pommiin. Oon niin väsynyt, että tekisi mieli skipata loppu päivä.","NPC_Miro"
"Skipataan loppupäivä yhdessä!","player, option2"
"Onko sulla kaikki ok? Oot ollut poissa paljon viime aikoina","player, option1"

"Scene 3.3 B"
"Mun isä on alkanut taas dokaamaan. Siitä tulee aina tosi inhottava, kun se juo.","NPC_Miro"
"Sekasin chatissä","player, option1"
"Okei, aika paha. Voisitko sä puhua tosta vaikka...","player"
"Lasisen lapsuuden työntekijälle","player, option4"
"Kouluterkalle","player, option1"
"Koulukuraattorille","player, option3"
"Lisätietoa: Sekasin chat on nuorille suunnattu chat, jossa pääsee juttelemaan nimettömästi työntekijöiden ja koulutettujen vapaaehtoisten kanssa. Se on auki vuoden jokaisena päivänä.","narrator, infobox"
"Lisätietoa: Lasinen lapsuus on verkkosivusto, joka tarjoaa apua vanhempien alkoholinkäytöstä haittoja kokeville.","narrator, infobox"
"Hienoa, kaikki näistä oli hyviä vaihtoehtoja!","narrator"
"Kyllä mä varmaan voisin. Tästä ei oo helppo puhua. Kiitos kuitenkin.","NPC_Miro"


"Scene 3C: Sofin sometauko"
"Pääset vihdoin automaatille, mutta energiajuomat on korvattu appelsiinimehulla!","narrator"
"Ok, ihan sama","player, option1"
"Ärsyttää","player, option2"
"Odottelette tunnin alkua.","narrator"
"Tiedoksi, että mä pidän viikonloppuna somepaaston. Älä ihmettele jos en vastaa heti sun viesteihin!","NPC_Sofi"
"Ai minkä takii?","player, option1"
"Mä en ikinä pystyis tollaseen, puhelin = elämä","player, option2"
"Sometauosta voi olla lukuisia hyötyjä, se voi mm. vähentää ahdistusta, parantaa keskittymistä ja  unenlaatua. Vaikka some ei ole todellista elämää ja moni julkaisee siellä hyvin vääristeltyä todellisuutta, moni kokee somesta paineita ja some lisää fomon (fear of missing out) tunnetta.","narrator, infobox"
"Moni myös jää koukkuun someen. Toisin kuin muissa riippuvuuksissa, internetriippuvuuden hoidossa ei pyritä kokonaan lopettamaan netin käyttöä vaan kohtuullistamaan sitä.","narrator, infobox"
"MITEN SAISI VÄHENNETTY ""LUENNOINTIA"" JA LISÄTTYÄ DIALOGIA JA VUOROVAIKUTUSTA? "

"Scene 4: Oppitunti"
"Saavut luokkaan juuri kun oppitunti on alkamassa.","narrator"
"Ahdistushäiriön muotoja voivat olla: - Sosiaalisten tilanteiden pelko - Julkisten paikkojen pelko - Yleistynyt ahdistuneisuushäiriö (arkiset huolet tuntuvat hallitsemattomilta, vaikea rentoutua) - Paniikkihäiriö - Pakko-oireinen häiriö (pakonomaiset ajatukset tai toiminnot) - Traumaperäinen stressihäiriö","infobox"
"Noniin, aloitellaanpa sitten... Tänään puhutaan mielenterveydestä. Ohimenevä ahdistus on yleistä nuorilla.  Ahdistushäiriöstä on kyse silloin, kun ahdistuneisuudesta aiheutuu selvää toiminnallista haittaa tai kärsimystä.","NPC_OpettajaPirkko"
"Tiedätkö, kuinka moni nuori Suomessa kärsii ahdistuneisuushäiriöstä?","NPC_OpettajaPirkko"
"1-3%","player, option1"
"4-11%","player, option2"
"15-20%","player, option3"
"Oikea vastaus oli 4-11%. (Lähde: THL)","NPC_OpettajaPirkko"
"Oho, aika moni...","player"
"Mä tiesin ton","player"
"Okei ei ihan niin moni...","player"
"Osa nuorista yrittää lievittää oireita päihteillä tai viiltelyllä. Nämä eivät kuitenkaan poista pahan olon syytä ja päihteiden käyttö voi pahentaa oireita.","NPC_OpettajaPirkko"
"Ahdistuksesta kannattaa jutella luotettavan aikuisen kanssa matalalla kynnyksellä. Ongelmien ratkominen varhaisessa vaiheessa on yleensä helpompaa kuin silloin kun oireet ovat jatkuneet pitkään.","NPC_kouluterkka"
"Tiedätkö mistä voi saada apua ahdistukseen?","NPC_OpettajaPirkko"
"Kouluterkalta","player"
"Koululääkäriltä","player"
"Hienoa, kaikki näistä oli hyviä vaihtoehtoja!","NPC_OpettajaPirkko"
"Koulukuraattorilta","player"
"Terveyskeskuksesta","player"
"Sekasin-chat on nuorille suunnattu chat, jossa pääsee juttelemaan nimettömästi työntekijöiden ja koulutettujen vapaaehtoisten kanssa. Se on auki vuoden jokaisena päivänä.","infobox"
"Sekasin-chatistä","player"
"Koulupäivä on päättymässä, Roope on järkkäämässä illalla kotibileet. Haluutko mennä?","narrator"
"Haluun!","player, option1"
"En halua","player, option2"

"Scene 3 D: Miron kotona"
"Suuntaatte ensin puistoon. Miro asuu aivan puiston vieressä.","narrator"
"Voisinko mä käydä sun luona vessassa?","NPC_Sofi"
"No... okei.","NPC_Miro"
"Miron kotona on tosi sotkuista, tyhjiä oluttölkkejä on ympäriinsä. Miron isä tulee tervehtimään teitä humalaisen oloisena.","narrator"
"Etkö sä taaskaan mennyt töihin?","NPC_Miro"
"Mulla oli vähän huono olo niin otin saikkua.","NPC_Miron_Isä"
"Sofin käytyä wc:ssä poistutte nopeasti. Pihalle päästyänne Miro vaikuttaa poissaolevalta.","narrator"
"Ignooraat sen","player, option1"
"Onks kaikki ok?","player, option2"
"Mun isä on alkanut taas dokaamaan. Siitä tulee aina tosi inhottava, kun se juo.","NPC_Miro"
"Okei, aika paha. Voisitko sä puhua tosta vaikka...","player"
"Lasisen lapsuuden työntekijälle","player, option4"
"Sekasin chatissä","player, option1"
"Kouluterkalle","player, option1"
"Koulukuraattorille","player, option3"
"Lisätietoa: Lasinen lapsuus on verkkosivusto, joka tarjoaa apua vanhempien alkoholinkäytöstä haittoja kokeville.","narrator, infobox"
"Lisätietoa: Sekasin chat on nuorille suunnattu chat, jossa pääsee juttelemaan nimettömästi työntekijöiden ja koulutettujen vapaaehtoisten kanssa. Se on auki vuoden jokaisena päivänä.","narrator, infobox"
"Hienoa, kaikki näistä oli hyviä vaihtoehtoja!","narrator"
"Kyllä mä varmaan voisin. Tästä ei oo helppo puhua. Kiitos kuitenkin.","NPC_Miro"

"Scene 5 A: Roopen bileet"
"Scene 5.1 A"
"Suuntaat Roopen luo. Roope ja sen muutama kaveri vertailee habojen kokoa.","narrator"
"Pojat katsovat somessa kuvia kehonrakentajista.","narrator"
"Roope kertoo, että sen serkku tilasi netistä steroideja ja sen lihakset kasvoi tosi isoiks muutamassa kuukaudessa. Se sai serkulta sitä kans kokeiluun.","narrator"
"Tiedätkö sä mitä haittavaikutuksia anabolisilla steroideilla voi olla?","narrator"
"Tiedän","player, option1"
"No mitä?","player, option2"
"Esimerkiksi: - sydän- ja verenkiertoelimistöön liittyvät sairaudet (kolesteroliarvojen huonontuminen, verensokerin nousu / insuliiniresistenssin lisääntyminen, verenpaineen nousu, sydämen seinän paksuuntuminen, sydämen vaurioituminen) --> sepelvaltimotaudin, sydäninfarktin ja sydänperäisen äkkikuoleman riskin kasvu  - maksatoksisuus (maksasyöpä), maksan ja munuaisten vajaatoiminta  - iho-ongelmat: akne, kaljuuntuminen, arpijuovat  - miehillä:  testosteronin tuotannon vähentyminen / testosteronilama, seksuaaliset toimintahäiriöt (sperman tuotannon heikkeneminen, kivesten surkastuminen, hedelmättömyys, impotenssi), rintojen kasvu (gynekomastia)  - naisilla: kehon/kasvojen karvoituksen lisääntyminen, äänen muutokset (madaltuminen),  kuukautishäiriöt, klitoriksen suurentuminen, kohdun surkastuminen, hedelmättömyys  - mielenterveys: aggressiivisuus, ärtyneisyys, masentuneisuus, väsymys, tyytymättömyys omaan kehoon, riippuvuus, vakavat mielialahäiriöt (masennus, mania, hypomania)   lisätietoa dopingaineista löydät osoitteesta dopinglinkki.fi","narrator, infobox"
"Okei, niiden käyttäminen ei todellakaan kannata","player, option1"
"ihan sama","player, option2"

"Scene 5.2 A"
"Roopen kaveri tuli tyytyväisen näköisenä ovelta. Hän oli tilannut netistä jotain uusia pillereitä joista menee kuulemma pää sekasin. Haluatko sä kokeilla?","narrator"
"Haluan!","player, option1"
"En todellakaan! On tosi vaarallista ottaa pillereitä, joista ei edes tiedä mitä ne sisältää.","player, option2"
"Ootko ihan varma? On aina riski ostaa huumeita katukaupasta. Vaikka sinulle kerrottaisiin mitä huumeessa on, et voi kuitenkaan koskaan olla varma puhuuko myyjä totta. Yksikin pilleri voi olla hengenvaarallinen ja Suomi on Euroopan kärjessä nuorten huumekuolemissa.","narrator, infobox"
"Aivan totta. Vaikka sinulle kerrottaisiin mikä huume on kyseessä, et voi kuitenkaan koskaan olla varma puhuiko myyjä totta. Yksikin pilleri voi olla hengenvaarallinen. Suomi on Euroopan kärjessä nuorten huumekuolemissa.","narrator, infobox"
"okei ehkä jätänkin väliin.","player, option2"
"Ihan sama.","player, option1"
"Otat pienen valkoisen pillerin suuhun. Roopen kavereita naurattaa. Kyseessä olikin Xylitol-tabletti.","narrator"
"Ei me mitään pillereitä tilattu, mutta meil on kyl jointti, jos haluut sitä polttaa.","NPC_Roope"
"Hyi, en.","player, option2"
"Okei no mut se käy.","player, option1"
"Hieno valinta. Kannabiksen käyttö on erityisen riskialtista kehittyvän nuoren aivotoiminnalle.","narrator"
"Ootko koskaan aiemmin polttanut kannabista?","narrator"
"Joo","player, option1"
"En oo","player, option2"
"Bileissä on vähän tylsää. Miro tekstaa olevansa puistossa. Haluatko mennä sinne?","narrator"
"Kannabiksen käyttö on erityisen riskialtista kehittyvän nuoren aivotoiminnalle.","narrator"
"Eikun lähden kotiin.","player, option2"
"Joo mennään vaan.","player, option1"
"Aha ok","player, option1"
"Ai on vai? mistä voin lukea tästä lisää?","player, option2"
"Saat lisätietoa tästä esimerkiksi Nuortenlinkin Kannabis tietoartikkeleista.","narrator, infobox"
"Poltatte jointtia ja hetken päästä sulle tulee ihan hirveä olo. Sun sydän tykyttää ja sua pyörryttää. Tekstaat Sofille ja pyydät, että hän auttais sut kotiin.","narrator"


"Scene 5 B: Puistossa"
"Suuntaat puistoon ja Sofi lähtee sun mukaan. Siellä on Miro ja sen pari kaveria, jotka tarjoavat teille bisseä. Sofi ottaa oluttölkin.","narrator"
"Sofi mitä sä teet? Ethän sä juo alkoholia!","player, option1"
"Aha, ok, kai säkin sit otat yhden.","player, option2"
"Sofi vaikuttaa nolostuneelta mutta päättää kuitenkin juoda.","narrator"
